month,value
1971-01,-1.04925
1971-02,-1.09475
1971-03,-1.08125
1971-04,-0.9748
1971-05,-0.7985
1971-06,-0.61875
1971-07,-0.4334
1971-08,-0.299
1971-09,-0.24775
1971-10,-0.28200000000000003
1971-11,-0.40149999999999997
1971-12,-0.5608
1972-01,-0.68025
1972-02,-0.7072499999999999
1972-03,-0.6338
1972-04,-0.47425
1972-05,-0.29
1972-06,-0.07680000000000001
1972-07,0.122
1972-08,0.28150000000000003
1972-09,0.4484
1972-10,0.619
1972-11,0.7975
1972-12,1.0596
1973-01,1.3904999999999998
1973-02,1.7205
1973-03,2.0758
1973-04,2.3689999999999998
1973-05,2.5452500000000002
1973-06,2.6382
1973-07,2.6585
1973-08,2.6544
1973-09,2.6614999999999998
1973-10,2.697
1973-11,2.7646
1973-12,2.83425
1974-01,2.8895
1974-02,2.952
1974-03,3.0358
1974-04,3.11875
1974-05,3.1774
1974-06,3.198
1974-07,3.16525
1974-08,3.0316
1974-09,2.77675
1974-10,2.458
1974-11,2.0446
1974-12,1.59625
1975-01,1.1148
1975-02,0.62325
1975-03,0.19524999999999998
1975-04,-0.2025
1975-05,-0.5716
1975-06,-0.83575
1975-07,-0.97575
1975-08,-1.0608
1975-09,-1.1235
1975-10,-1.204
1975-11,-1.31525
1975-12,-1.4344999999999999
1976-01,-1.5648
1976-02,-1.6495
1976-03,-1.65825
1976-04,-1.5984
1976-05,-1.49275
1976-06,-1.3780000000000001
1976-07,-1.2478
1976-08,-1.1495
1976-09,-1.11875
1976-10,-1.1525999999999998
1976-11,-1.22775
1976-12,-1.2978
1977-01,-1.3265
1977-02,-1.32
1977-03,-1.30825
1977-04,-1.2954
1977-05,-1.25925
1977-06,-1.1865
1977-07,-1.062
1977-08,-0.92
1977-09,-0.7936
1977-10,-0.69975
1977-11,-0.64775
1977-12,-0.6174
1978-01,-0.61975
1978-02,-0.667
1978-03,-0.7688
1978-04,-0.87575
1978-05,-0.9177500000000001
1978-06,-0.8646
1978-07,-0.71075
1978-08,-0.5045
1978-09,-0.22119999999999998
1978-10,0.06925
1978-11,0.27925
1978-12,0.4242
1979-01,0.483
1979-02,0.47175
1979-03,0.4238
1979-04,0.38425
1979-05,0.37075
1979-06,0.3674
1979-07,0.375
1979-08,0.405
1979-09,0.452
1979-10,0.48975
1979-11,0.5138
1979-12,0.53725
1980-01,0.627
1980-02,0.898
1980-03,1.29075
1980-04,1.528
1980-05,1.4098
1980-06,0.9197500000000001
1980-07,0.34475
1980-08,-0.2032
1980-09,-0.50875
1980-10,-0.5394
1980-11,-0.358
1980-12,-0.08125
1981-01,0.211
1981-02,0.40625
1981-03,0.523
1981-04,0.6525
1981-05,0.8704000000000001
1981-06,1.146
1981-07,1.4546000000000001
1981-08,1.78575
1981-09,2.0555
1981-10,2.2668
1981-11,2.3609999999999998
1981-12,2.36875
1982-01,2.3798
1982-02,2.3970000000000002
1982-03,2.36775
1982-04,2.291
1982-05,2.2102500000000003
1982-06,2.136
1982-07,2.0044
1982-08,1.75675
1982-09,1.42175
1982-10,0.9656
1982-11,0.4975
1982-12,0.08420000000000001
1983-01,-0.27575
1983-02,-0.58225
1983-03,-0.88225
1983-04,-1.175
1983-05,-1.365
1983-06,-1.4035
1983-07,-1.3174
1983-08,-1.18475
1983-09,-1.0782
1983-10,-0.99875
1983-11,-0.9205
1983-12,-0.7924
1984-01,-0.6405
1984-02,-0.5325
1984-03,-0.466
1984-04,-0.42774999999999996
1984-05,-0.38675000000000004
1984-06,-0.3022
1984-07,-0.17049999999999998
1984-08,-0.009999999999999998
1984-09,0.14425
1984-10,0.22699999999999998
1984-11,0.2108
1984-12,0.11175
1985-01,0.01525
1985-02,-0.03325
1985-03,-0.0096
1985-04,0.03825
1985-05,0.0478
1985-06,0.0315
1985-07,0.015
1985-08,-0.0284
1985-09,-0.1275
1985-10,-0.2485
1985-11,-0.3602
1985-12,-0.414
1986-01,-0.4076
1986-02,-0.3685
1986-03,-0.33275
1986-04,-0.30725
1986-05,-0.2522
1986-06,-0.12725
1986-07,0.03225
1986-08,0.2266
1986-09,0.41575
1986-10,0.5696
1986-11,0.65325
1986-12,0.62475
1987-01,0.4678
1987-02,0.25575000000000003
1987-03,0.09375
1987-04,-0.01925
1987-05,-0.0992
1987-06,-0.13275
1987-07,-0.0448
1987-08,0.2585
1987-09,0.71575
1987-10,1.2162
1987-11,1.4032499999999999
1987-12,1.22
1988-01,0.8008
1988-02,0.38575000000000004
1988-03,0.148
1988-04,0.0574
1988-05,0.07975
1988-06,0.128
1988-07,0.1568
1988-08,0.13974999999999999
1988-09,0.0894
1988-10,0.04125
1988-11,0.017
1988-12,0.0118
1989-01,0.0105
1989-02,-0.0085
1989-03,-0.0432
1989-04,-0.05925
1989-05,-0.052000000000000005
1989-06,-0.036
1989-07,-0.02
1989-08,0.004499999999999999
1989-09,0.0704
1989-10,0.179
1989-11,0.2915
1989-12,0.3984
1990-01,0.43825000000000003
1990-02,0.3745
1990-03,0.2056
1990-04,0.032
1990-05,-0.004250000000000001
1990-06,0.1684
1990-07,0.4775
1990-08,0.7304
1990-09,0.7897500000000001
1990-10,0.661
1990-11,0.3836
1990-12,0.052250000000000005
1991-01,-0.23175
1991-02,-0.45625
1991-03,-0.591
1991-04,-0.61375
1991-05,-0.5682
1991-06,-0.497
1991-07,-0.4265
1991-08,-0.3536
1991-09,-0.30525
1991-10,-0.3005
1991-11,-0.3382
